"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
35,30,0.08,1,179674.157799283,142366.629162821,83.3333333333333,74589.1488346768
20,50,0.06,0.75,179432.370198386,82887.7636354832,33.3333333333333,41332.8073441207
20,50,0.07,0.5,177963.133339905,73494.771911359,33.3333333333333,31322.5680811018
20,50,0.08,0.5,176650.330862648,86956.5238533682,33.3333333333333,30976.4672809875
15,35,0.09,0.75,176394.068115217,155747.153269821,100,104314.361991173
10,35,0.09,0.25,175236.509134484,138044.537336778,66.6666666666667,73375.1039240635
20,50,0.07,0.25,174509.04495929,70979.5362018732,33.3333333333333,33387.8287956643
30,50,0.1,0.5,174501.077637913,107056.682620111,66.6666666666667,68944.4787576888
20,50,0.02,1,173819.609404864,126233.522572632,66.6666666666667,24959.5101042509
25,50,0.06,0.25,173814.743452279,92275.056231527,33.3333333333333,60266.6021738812
25,50,0.05,0.75,173501.908462269,105337.201741387,50,63150.1858219162
35,30,0.1,0.75,172870.896368141,134217.465356253,66.6666666666667,49107.3005075312
15,35,0.07,0.25,172729.885519958,159353.979183468,100,111449.771290737
20,50,0.07,0.75,172468.710451668,80832.4447169194,33.3333333333333,32738.2557114726
20,50,0.02,0.5,172385.571297686,90173.1059188767,50,56752.7681908864
40,30,0.1,0.75,172371.507146979,117290.801449528,66.6666666666667,40041.8413876462
25,50,0.03,0.75,172155.927862822,127179.421679455,66.6666666666667,79625.5315179443
40,30,0.1,1,171908.901410435,111621.550155151,50,43688.2443169117
40,30,0.07,1,171245.805013886,159024.541698038,83.3333333333333,94967.5083583975
25,50,0.03,0.5,170887.742778817,117256.064143777,50,72888.6276566395
40,35,0.1,1,170876.934796794,61233.7033018828,33.3333333333333,35351.357156992
35,30,0.09,1,170181.630162736,115797.012565411,50,69770.0116144944
10,35,0.07,0.75,169928.040188622,129782.966651578,83.3333333333333,48056.5427975285
35,35,0.1,1,169863.587953249,56750.5976207852,33.3333333333333,30125.2179651439
30,50,0.09,0.5,169817.739976634,107251.019329697,66.6666666666667,61651.6206491313
15,35,0.09,1,169815.161639879,151985.574512827,100,102325.701140356
30,40,0.06,1,168362.016784907,155000.614339645,83.3333333333333,46045.9649373531
35,30,0.07,0.25,167947.154751472,105336.580301492,50,82284.3865114135
10,35,0.08,1,167852.40900791,130616.702249724,83.3333333333333,94507.8872835636
25,50,0.09,0.25,167114.603056852,93047.8168058488,50,53607.0279791298
25,50,0.07,0.25,166996.980859917,86248.8021483788,33.3333333333333,62522.9421964711
25,50,0.04,0.75,166870.80182294,113924.147044545,50,77705.1298272765
20,50,0.04,0.5,166743.038761777,80062.7378678903,33.3333333333333,50581.3614592624
10,50,0.04,0.25,166441.046865655,85211.3068645501,33.3333333333333,40393.528839609
15,35,0.1,0.75,166438.573302204,186577.659225731,66.6666666666667,57600.8541835851
35,30,0.06,1,165741.198667185,164915.038736982,83.3333333333333,73119.4132204842
25,50,0.04,0.5,165081.301884509,103339.973964542,66.6666666666667,67913.1416091109
30,30,0.07,0.25,165036.429310074,149379.77468226,83.3333333333333,97499.6835737121
15,35,0.1,1,165027.570109241,136348.177786732,83.3333333333333,95327.7381383896
25,30,0.08,1,164128.011844229,122675.418898501,83.3333333333333,84619.0765699005
40,30,0.07,0.75,163641.595060195,145798.023019945,100,100972.038324872
20,50,0.03,0.5,163235.929156966,76908.2911325687,33.3333333333333,57442.9824726429
30,50,0.06,1,163116.754050737,165395.53608477,83.3333333333333,61968.7423305678
25,50,0.04,0.25,162929.125940737,118013.164166771,66.6666666666667,73108.385907712
10,50,0.03,0.25,162355.646185448,66900.1212188792,33.3333333333333,36869.5356280392
20,50,0.02,0.75,161994.858827426,106514.806549667,50,56882.4172621691
30,50,0.1,0.75,161251.835126057,100001.148071921,50,80639.8005523941
15,50,0.03,0.25,161227.47594115,56655.1361230535,33.3333333333333,27234.917075412
35,30,0.05,0.75,160712.399411842,138375.088776308,100,104044.946760767
40,35,0.1,0.75,160411.697752555,64975.5815585742,33.3333333333333,32668.6245167184
15,50,0.02,0.25,160200.857852308,64215.1605095069,33.3333333333333,27571.1636354676
